Instância,Seed,Tempo,It_total,It_reset,Mean,Best
47_1_360_120_20.txt, 1390302972, 180, 4785, 1000, 3155, 3164.33
47_2_360_120_20.txt, 1585916151, 180, 4712, 1000, 4029.56, 4065.67
47_5_360_120_20.txt, 1971121196, 180, 13569, 1000, 5483.44, 5516.67
47_7_360_120_20.txt, 1069114927, 180, 8548, 1000, 5360.33, 5373.33
47_10_360_120_20.txt, 2097795784, 180, 6859, 1000, 5150, 5340.33
51_1_360_120_20.txt, 915062887, 180, 3439, 1000, 323.778, 332
51_2_360_120_20.txt, 765536701, 180, 3716, 1000, 411.444, 414.333
51_5_360_120_20.txt, 3208476000, 180, 9434, 1000, 553.111, 555.333
51_7_360_120_20.txt, 1914940881, 180, 7830, 1000, 557.333, 567.667
51_10_360_120_20.txt, 4190685364, 180, 4882, 1000, 529, 543.333
107_1_360_120_20.txt, 107218311, 180, 2437, 1000, 3227, 3279.33
107_2_360_120_20.txt, 748588340, 180, 2158, 1000, 4222.56, 4268.67
107_5_360_120_20.txt, 1061000030, 180, 1786, 1000, 5859, 5884.33
107_7_360_120_20.txt, 2972523242, 180, 2002, 1000, 6474.78, 6491.33
107_10_360_120_20.txt, 3993289997, 180, 1785, 1000, 7068.89, 7169
146_1_360_120_20.txt, 1556215572, 180, 2193, 1000, 707.333, 721
146_2_360_120_20.txt, 3009616068, 180, 1588, 1000, 1002, 1008
146_5_360_120_20.txt, 551762424, 180, 1579, 1000, 1448, 1457
146_7_360_120_20.txt, 3169823917, 180, 1282, 1000, 1601, 1613.33
146_10_360_120_20.txt, 193310641, 180, 1342, 1000, 1779.89, 1803.33
10_1_360_90_20.txt, 3539272388, 180, 68404, 1000, 544.667, 544.667
16_1_360_90_20.txt, 3214548972, 180, 17662, 1000, 674, 674.333
21_1_360_90_20.txt, 2469384494, 180, 10013, 1000, 824.667, 825.333
10_1_360_120_20.txt, 3452299861, 180, 136651, 1000, 453.667, 453.667
16_1_360_120_20.txt, 3665947156, 180, 44938, 1000, 571.222, 575
21_1_360_120_20.txt, 3144289666, 180, 15824, 1000, 692, 692
10_1_360_180_20.txt, 3780133426, 180, 154139, 1000, 160, 160
16_1_360_180_20.txt, 550184953, 180, 91722, 1000, 454.778, 455
21_1_360_180_20.txt, 2986040492, 180, 45709, 1000, 536.222, 536.667
10_1_360_360_20.txt, 2507809551, 180, 157717, 1000, 160, 160
16_1_360_360_20.txt, 3885682263, 180, 63929, 1000, 249, 249
21_1_360_360_20.txt, 3273516548, 180, 36549, 1000, 323, 323
